"iddepartamento","departamentoalec","Nombre","V4_044_R1"
"Ch","Ch","Chocó","Ok"
"V_","V","Valle del Cauca","Ok"
"Ca","Ca","Cauca","Ok"
"N_","N","Nariño","Ok"
"P_","P","Putumayo","Ok"
"Co","Co","Córdoba","Ok"
"A_","A","Antioquia","Ok"
"R_","R","Risaralda","Ok"
"C_","C","Caldas","Ok"
"Q_","Q","Quindío","Ok"
"T_","T","Tolima","Ok"
"H_","H","Huila","Ok"
"Cq","Cq","Caquetá","Ok"
"Su","Su","Sucre","Ok"
"At","At","Atlántico","Ok"
"B_","B","Bolívar","Ok"
"S_","S","Santander","Ok"
"Bo","Bo","Boyacá","Ok"
"Cu","Cu","Cundinamarca","Ok"
"Me","Me","Meta","Ok"
"M_","M","Magdalena","Ok"
"G_","G","Guajira","Ok"
"Ce","Ce","Cesar","Ok"
"NS","NS","Norte de Santander","Ok"
"Ar","Ar","Arauca","Ok"
"Cs","Cs","Casanare","Ok"
"Am","Am","Amazonas","Ok"
