Idlocalidad,localidadalec,SUPERDIALECTO,DIALECTO,SUBDIALECTO
Ch01_,Ch1,Costeño,Costeño atlántico,Atlántico interior
Ch10_,Ch10,Costeño,Costeño pacífico,Pacifico norte
Ch30_,Ch30,Costeño,Costeño pacífico,Pacifico norte
Ch03_,Ch3,Costeño,Costeño pacífico,Pacifico norte
Ch04_,Ch4,Costeño,Costeño pacífico,Pacifico norte
Ch05_,Ch5,Costeño,Costeño pacífico,Pacifico norte
Ch06_,Ch6,Costeño,Costeño pacífico,Pacifico norte
Ch60_,Ch60,Costeño,Costeño pacífico,Pacifico norte
V_02_,V2,Andino,Andino Occidental,Antioqueño-Caldense
V_20_,V20,Andino,Andino Occidental,Antioqueño-Caldense
V_21_,V21,Andino,Andino Occidental,Antioqueño-Caldense
V_03_,V3,Costeño,Costeño pacífico,Pacífico sur
V_04_,V4,Andino,Andino Occidental,Antioqueño-Caldense
V_04a,V4a,Andino,Andino Occidental,Antioqueño-Caldense
V_40_,V40,Andino,Andino Occidental,Caucano-Valluno
V_41_,V41,Andino,Andino Occidental,Caucano-Valluno
V_42_,V42,Andino,Andino Occidental,Caucano-Valluno
V_05_,V5,Andino,Andino Occidental,Caucano-Valluno
V_06_,V6,Andino,Andino Occidental,Caucano-Valluno
V_60_,V60,Andino,Andino Occidental,Caucano-Valluno
V_61_,V61,Andino,Andino Occidental,Caucano-Valluno
V_62_,V62,Andino,Andino Occidental,Caucano-Valluno
V_63_,V63,Andino,Andino Occidental,Caucano-Valluno
Ca01_,Ca1,Costeño,Costeño pacífico,Pacífico sur
Ca10_,Ca10,Costeño,Costeño pacífico,Pacífico sur
Ca02_,Ca2,Andino,Andino Occidental,Caucano-Valluno
Ca20_,Ca20,Andino,Andino Occidental,Caucano-Valluno
Ca21_,Ca21,Andino,Andino Occidental,Caucano-Valluno
Ca03_,Ca3,Andino,Andino Occidental,Caucano-Valluno
Ca30_,Ca30,Andino,Andino Occidental,Caucano-Valluno
Ca04_,Ca4,Andino,Andino Occidental,Caucano-Valluno
Ca40_,Ca40,Andino,Andino Occidental,Caucano-Valluno
N_01_,N1,Costeño,Costeño pacífico,Pacífico sur
N_03_,N3,Costeño,Costeño pacífico,Pacífico sur
N_30_,N30,Costeño,Costeño pacífico,Pacífico sur
N_31_,N31,Andino,Andino Occidental,Andino Sureño
N_04_,N4,Andino,Andino Occidental,Andino Sureño
N_40_,N40,Andino,Andino Occidental,Andino Sureño
N_06_,N6,Andino,Andino Occidental,Andino Sureño
P_01_,P1,Andino,Andino Occidental,Andino Sureño
Co01_,Co1,Costeño,Costeño atlántico,Cartagenero
Co10_,Co10,Costeño,Costeño atlántico,Cartagenero
Co11_,Co11,Costeño,Costeño atlántico,Atlántico interior
Co02_,Co2,Costeño,Costeño atlántico,Atlántico interior
Co03_,Co3,Costeño,Costeño atlántico,Atlántico interior
Co30_,Co30,Costeño,Costeño atlántico,Atlántico interior
Co04_,Co4,Costeño,Costeño atlántico,Atlántico interior
Co40_,Co40,Costeño,Costeño atlántico,Atlántico interior
A_01_,A1,Costeño,Costeño atlántico,Atlántico interior
A_02_,A2,Costeño,Costeño atlántico,Atlántico interior
A_20_,A20,Costeño,Costeño atlántico,Atlántico interior
A_03_,A3,Costeño,Costeño atlántico,Atlántico interior
A_30_,A30,Andino,Andino Occidental,Antioqueño-Caldense
A_31_,A31,Andino,Andino Occidental,Antioqueño-Caldense
A_32_,A32,Andino,Andino Occidental,Antioqueño-Caldense
A_04_,A4,Costeño,Costeño atlántico,Atlántico interior
A_40_,A40,Costeño,Costeño atlántico,Atlántico interior
A_41_,A41,Andino,Andino Occidental,Antioqueño-Caldense
A_42_,A42,Andino,Andino Occidental,Antioqueño-Caldense
A_43_,A43,Andino,Andino Occidental,Antioqueño-Caldense
A_44_,A44,Andino,Andino Occidental,Antioqueño-Caldense
A_05_,A5,Andino,Andino Occidental,Antioqueño-Caldense
A_50_,A50,Andino,Andino Occidental,Antioqueño-Caldense
A_51_,A51,Andino,Andino Occidental,Antioqueño-Caldense
A_52_,A52,Andino,Andino Occidental,Antioqueño-Caldense
A_53_,A53,Andino,Andino Occidental,Antioqueño-Caldense
A_54_,A54,Andino,Andino Occidental,Antioqueño-Caldense
A_55_,A55,Andino,Andino Occidental,Antioqueño-Caldense
A_56_,A56,Andino,Andino Occidental,Antioqueño-Caldense
A_06_,A6,Andino,Andino Occidental,Antioqueño-Caldense
A_60_,A60,Andino,Andino Occidental,Antioqueño-Caldense
A_60a,A60a,Andino,Andino Occidental,Antioqueño-Caldense
A_61_,A61,Andino,Andino Occidental,Antioqueño-Caldense
A_62_,A62,Andino,Andino Occidental,Antioqueño-Caldense
A_63_,A63,Andino,Andino Occidental,Antioqueño-Caldense
R_01_,R1,Andino,Andino Occidental,Antioqueño-Caldense
R_03_,R3,Andino,Andino Occidental,Antioqueño-Caldense
R_06_,R6,Andino,Andino Occidental,Antioqueño-Caldense
C_01_,C1,Andino,Andino Occidental,Antioqueño-Caldense
C_02_,C2,Andino,Andino Occidental,Antioqueño-Caldense
C_03_,C3,Andino,Andino Occidental,Antioqueño-Caldense
C_04_,C4,Andino,Andino Occidental,Antioqueño-Caldense
C_05_,C5,Andino,Andino Occidental,Antioqueño-Caldense
Q_01_,Q1,Andino,Andino Occidental,Antioqueño-Caldense
T_02_,T2,Andino,Andino Occidental,Antioqueño-Caldense
T_20_,T20,Andino,Andino Occidental,Antioqueño-Caldense
T_21_,T21,Andino,Andino Oriental,Tolimense-Huilense
T_22_,T22,Andino,Andino Oriental,Tolimense-Huilense
